[LOG] 2024-11-29T20:54:15.395Z HTTP Endpoint: https://crow.resilientdb.com/v1/blocks
[LOG] 2024-11-29T20:54:15.401Z WebSocket Endpoint: wss://crow.resilientdb.com/blockupdatelistener
[LOG] 2024-11-29T20:54:15.402Z Initializing WebSocketMongoSync...
[LOG] 2024-11-29T20:54:18.812Z Connected to MongoDB database: myDatabase, collection: polls
[LOG] 2024-11-29T20:54:45.165Z Checking for blocks from 26901 to 27000
[LOG] 2024-11-29T20:54:45.263Z Checking for blocks from 27001 to 27100
[LOG] 2024-11-29T20:54:45.352Z Checking for blocks from 27101 to 27200
[LOG] 2024-11-29T20:54:45.458Z Checking for blocks from 27201 to 27300
[LOG] 2024-11-29T20:54:45.551Z Checking for blocks from 27301 to 27400
[LOG] 2024-11-29T20:54:45.645Z Checking for blocks from 27401 to 27500
[LOG] 2024-11-29T20:54:45.732Z Checking for blocks from 27501 to 27600
[LOG] 2024-11-29T20:54:45.822Z Checking for blocks from 27601 to 27700
[LOG] 2024-11-29T20:54:45.912Z Checking for blocks from 27701 to 27800
[LOG] 2024-11-29T20:54:46.001Z Checking for blocks from 27801 to 27900
[LOG] 2024-11-29T20:54:46.097Z Checking for blocks from 27901 to 28000
[LOG] 2024-11-29T20:54:46.189Z Checking for blocks from 28001 to 28100
[LOG] 2024-11-29T20:54:46.275Z Checking for blocks from 28101 to 28200
[LOG] 2024-11-29T20:54:46.365Z Checking for blocks from 28201 to 28300
[LOG] 2024-11-29T20:54:46.456Z Checking for blocks from 28301 to 28400
[LOG] 2024-11-29T20:54:46.563Z Checking for blocks from 28401 to 28500
[LOG] 2024-11-29T20:54:46.667Z Checking for blocks from 28501 to 28600
[LOG] 2024-11-29T20:54:46.762Z Checking for blocks from 28601 to 28700
[LOG] 2024-11-29T20:54:46.855Z Checking for blocks from 28701 to 28800
[LOG] 2024-11-29T20:54:46.956Z Checking for blocks from 28801 to 28900
[LOG] 2024-11-29T20:54:47.046Z Checking for blocks from 28901 to 29000
[LOG] 2024-11-29T20:54:47.146Z Checking for blocks from 29001 to 29100
[LOG] 2024-11-29T20:54:47.237Z Checking for blocks from 29101 to 29200
[LOG] 2024-11-29T20:54:47.329Z Checking for blocks from 29201 to 29300
[LOG] 2024-11-29T20:54:47.420Z Checking for blocks from 29301 to 29400
[LOG] 2024-11-29T20:54:47.508Z Checking for blocks from 29401 to 29500
[LOG] 2024-11-29T20:54:47.596Z Checking for blocks from 29501 to 29600
[LOG] 2024-11-29T20:54:47.686Z Checking for blocks from 29601 to 29700
[LOG] 2024-11-29T20:54:47.778Z Checking for blocks from 29701 to 29800
[LOG] 2024-11-29T20:54:47.865Z Checking for blocks from 29801 to 29900
[LOG] 2024-11-29T20:54:47.955Z Checking for blocks from 29901 to 30000
[LOG] 2024-11-29T20:54:48.160Z Checking for blocks from 30001 to 30100
[LOG] 2024-11-29T20:54:48.379Z Checking for blocks from 30101 to 30200
[LOG] 2024-11-29T20:54:48.467Z Checking for blocks from 30201 to 30300
[LOG] 2024-11-29T20:54:48.565Z Checking for blocks from 30301 to 30400
[LOG] 2024-11-29T20:54:48.792Z Checking for blocks from 30401 to 30500
[LOG] 2024-11-29T20:54:48.881Z Checking for blocks from 30501 to 30600
[LOG] 2024-11-29T20:54:48.972Z Checking for blocks from 30601 to 30700
[LOG] 2024-11-29T20:54:49.066Z Checking for blocks from 30701 to 30800
[LOG] 2024-11-29T20:54:49.175Z Checking for blocks from 30801 to 30900
[LOG] 2024-11-29T20:54:49.264Z Checking for blocks from 30901 to 31000
[LOG] 2024-11-29T20:54:49.353Z Checking for blocks from 31001 to 31100
[LOG] 2024-11-29T20:54:49.440Z Checking for blocks from 31101 to 31200
[LOG] 2024-11-29T20:54:49.527Z Checking for blocks from 31201 to 31300
[LOG] 2024-11-29T20:54:49.614Z Checking for blocks from 31301 to 31400
[LOG] 2024-11-29T20:54:49.701Z Checking for blocks from 31401 to 31500
[LOG] 2024-11-29T20:54:49.792Z Checking for blocks from 31501 to 31600
[LOG] 2024-11-29T20:54:49.886Z Checking for blocks from 31601 to 31700
[LOG] 2024-11-29T20:54:49.976Z Checking for blocks from 31701 to 31800
[LOG] 2024-11-29T20:54:50.063Z Checking for blocks from 31801 to 31900
[LOG] 2024-11-29T20:54:50.156Z Checking for blocks from 31901 to 32000
[LOG] 2024-11-29T20:54:50.263Z Checking for blocks from 32001 to 32100
[LOG] 2024-11-29T20:54:50.353Z Checking for blocks from 32101 to 32200
[LOG] 2024-11-29T20:54:50.445Z Checking for blocks from 32201 to 32300
[LOG] 2024-11-29T20:54:50.531Z Checking for blocks from 32301 to 32400
[LOG] 2024-11-29T20:54:50.621Z Checking for blocks from 32401 to 32500
[LOG] 2024-11-29T20:54:50.707Z Checking for blocks from 32501 to 32600
[LOG] 2024-11-29T20:54:50.797Z Checking for blocks from 32601 to 32700
[LOG] 2024-11-29T20:54:50.885Z Checking for blocks from 32701 to 32800
[LOG] 2024-11-29T20:54:50.975Z Checking for blocks from 32801 to 32900
[LOG] 2024-11-29T20:54:51.064Z Checking for blocks from 32901 to 33000
[LOG] 2024-11-29T20:54:51.151Z Checking for blocks from 33001 to 33100
[LOG] 2024-11-29T20:54:51.246Z Checking for blocks from 33101 to 33200
[LOG] 2024-11-29T20:54:51.337Z Checking for blocks from 33201 to 33300
[LOG] 2024-11-29T20:54:51.423Z Checking for blocks from 33301 to 33400
[LOG] 2024-11-29T20:54:51.514Z Checking for blocks from 33401 to 33500
[LOG] 2024-11-29T20:54:51.601Z Checking for blocks from 33501 to 33600
[LOG] 2024-11-29T20:54:51.689Z Checking for blocks from 33601 to 33700
[LOG] 2024-11-29T20:54:51.779Z Checking for blocks from 33701 to 33800
[LOG] 2024-11-29T20:54:51.869Z Checking for blocks from 33801 to 33900
